Metal,MSD,Lindemann,PMF,Radius_Mismatch,OSSE,Is_Pareto,S_MSD,S_Lind,S_PMF,S_Rad,S_OSSE,Dist,Rank
Ni,47.72334289550781,0.10234099626541138,-14.243612289428711,0.030000000000000027,12.0,True,0.3976970698307194,0.6180773860414546,0.7314861310377809,0.9605263157894737,1.0,0.7630803183896447,1
Cr,46.552818298339844,0.15792100131511688,-14.611340522766113,0.08000000000000007,12.0,True,0.4211008676793724,0.2579993592292408,0.7815962042293056,0.894736842105263,1.0,0.9718383130556297,2
V,42.451316833496094,0.15792100131511688,-14.551021575927734,0.07000000000000006,8.0,True,0.503107440964037,0.2579993592292408,0.773376582870688,0.9078947368421052,0.6666666666666666,0.9840832433963032,3
Co,47.52214050292969,0.04554527625441551,-10.484994888305664,0.030000000000000027,8.0,True,0.40171996702908386,0.9860314870648174,0.21930192543613414,0.9605263157894737,0.6666666666666666,1.0393713887197837,4
Cu,23.902725219726562,0.18128962814807892,-14.018220901489258,0.010000000000000009,6.0,True,0.8739731959906183,0.10660446403628854,0.7007722017757261,0.9868421052631579,0.5,1.074126968487785,5
W,33.039432525634766,0.11519709974527359,-13.745664596557617,0.05999999999999994,0.0,True,0.6912913016441449,0.5347884340274613,0.6636311417462,0.9210526315789475,0.0,1.196285733986142,6
Eu,24.861671447753906,0.13389438390731812,-15.230290412902832,0.22999999999999998,0.0,True,0.8547997555325706,0.4136570814520999,0.8659400796373693,0.6973684210526316,0.0,1.2142648244713683,7
Ho,26.364398956298828,0.1419774740934372,-15.840609550476074,0.18000000000000005,0.0,True,0.8247537992863827,0.3612903506077969,0.9491078483355166,0.763157894736842,0.0,1.2236606723343666,8
Dy,26.364398956298828,0.1419774740934372,-15.840609550476074,0.19000000000000006,0.0,False,0.8247537992863827,0.3612903506077969,0.9491078483355166,0.7499999999999999,0.0,1.226275359856957,9
Tb,26.364398956298828,0.1419774740934372,-15.840609550476074,0.20000000000000007,0.0,False,0.8247537992863827,0.3612903506077969,0.9491078483355166,0.7368421052631577,0.0,1.229025360094183,10
Tc,45.83538818359375,0.10241662710905075,-13.543817520141602,0.06999999999999995,0.0,True,0.4354453670744963,0.6175874075875222,0.6361255796061795,0.9078947368421053,0.0,1.267221092671522,11
Au,23.986309051513672,0.10890553146600723,-11.652064323425293,0.13,0.0,True,0.8723019973611369,0.5755486946558391,0.3783376738818538,0.8289473684210527,0.0,1.2697199458821715,12
Sn,46.768795013427734,0.10356754809617996,-13.639060974121094,0.030000000000000027,0.0,True,0.4167825685234532,0.6101311045934574,0.649104339508868,0.9605263157894737,0.0,1.2715448337672872,13
