Metal,MSD,Lindemann,PMF,Radius_Mismatch,OSSE,S_MSD,S_Lind,S_PMF,S_Rad,S_OSSE,Dist,Rank
Ni,47.71893145249258,0.10253166211402562,-14.234465501464598,0.030000000000000027,12.0,0.3966678099002636,0.6155195181877027,0.730679046837504,0.9605263157894737,1.0,0.7654586338024209,1
Cr,50.07861240476888,0.13992089879972527,-14.689005570079473,0.08000000000000007,12.0,0.34937657072120776,0.37697468683465707,0.7927240502552575,0.894736842105263,1.0,0.9303306075389686,2
V,47.01329880860249,0.1401205986564249,-14.531627943184924,0.07000000000000006,8.0,0.41080965484017584,0.37570059373032105,0.7712419058355022,0.9078947368421052,0.6666666666666666,0.9533203909266263,3
Co,47.5815403457096,0.04419136796596994,-10.507278121022745,0.030000000000000027,8.0,0.39942131591372765,0.987732937403019,0.22191564020797827,0.9605263157894737,0.6666666666666666,1.038715452091082,4
Cu,23.88851587784995,0.18226945199763525,-14.007502807893838,0.010000000000000009,6.0,0.8742619870239022,0.10678921700117794,0.6996984973312477,0.9868421052631579,0.5,1.07423911373193,5
Pt,24.896632386505026,0.11201722321788246,-14.656465613530905,0.08999999999999997,0.0,0.8540579510142157,0.5550012574692651,0.7882823258514624,0.8815789473684211,0.0,1.1305621972139974,6
W,24.896632386505026,0.11413510385599601,-14.656465613530905,0.05999999999999994,0.0,0.8540579510142157,0.5414890939583714,0.7882823258514624,0.9210526315789475,0.0,1.1325141911467422,7
Rh,27.206897751820744,0.08764768923033547,-12.605534479345376,0.04999999999999993,0.0,0.8077570678999795,0.7104798628250977,0.5083289443643506,0.9342105263157896,0.0,1.1691227209192825,8
Tb,24.927974821792297,0.13395273028581742,-15.225811347478588,0.20000000000000007,0.0,0.8534298056701619,0.4150518415945783,0.8659983743316628,0.7368421052631577,0.0,1.20451470855771,9
Eu,24.927974821792297,0.13395273028581742,-15.225811347478588,0.22999999999999998,0.0,0.8534298056701619,0.4150518415945783,0.8659983743316628,0.6973684210526316,0.0,1.2137501712237635,10
Tc,43.77603720053854,0.11563734344624371,-13.992450999967062,0.06999999999999995,0.0,0.47568881269600505,0.5319047450528329,0.6976439161430454,0.9078947368421053,0.0,1.262504641489637,11
Ir,46.65125466450367,0.11105348473016119,-14.31011028294636,0.039999999999999925,0.0,0.4180655155087283,0.5611499477181314,0.7410046067818084,0.9473684210526316,0.0,1.2653401951406822,12
Sn,46.683989571863535,0.10340916476817147,-13.646548672661005,0.030000000000000027,0.0,0.4174094631165748,0.6099210160196942,0.6504280323039968,0.9605263157894737,0.0,1.2709571510295827,13
Os,46.65125466450367,0.11201528127353932,-14.31011028294636,0.08999999999999997,0.0,0.4180655155087283,0.5550136471521496,0.7410046067818084,0.8815789473684211,0.0,1.2719130307829898,14
Pb,17.61459285643397,0.10025233465582867,-13.807981150833369,0.47,0.0,1.0,0.6300617188933382,0.6724636664571373,0.381578947368421,0.0,1.2753740549175379,15
Re,44.52697524595351,0.1259495150521205,-14.77655800147909,0.08999999999999997,0.0,0.4606389854385895,0.46611267614043417,0.8046750118546946,0.8815789473684211,0.0,1.2759785951601923,16
Au,20.47190428486828,0.11759531888390659,-11.229944493138985,0.13,0.0,0.9427355642970352,0.5194127831415234,0.320560051611537,0.8289473684210527,0.0,1.3134462055373093,17
Mo,49.19951512966088,0.08668395074261419,-12.3344143559772,0.030000000000000027,0.0,0.36699488452701434,0.7166285530739638,0.47132087809582335,0.9605263157894737,0.0,1.327424061417619,18
Ru,48.961520029819376,0.08668395074261419,-12.244010140059777,0.039999999999999925,0.0,0.3717646323944923,0.7166285530739638,0.4589806461275643,0.9473684210526316,0.0,1.3305829844133825,19
Sc,41.7218096981399,0.14899231741134614,-14.183511642977072,0.030000000000000027,0.0,0.51685834625113,0.3190986718458402,0.7237238133117994,0.9605263157894737,0.0,1.332268433666961,20
Ti,38.38053576569392,0.16005288218256572,-14.482429645626302,0.04999999999999993,0.0,0.5838220535903016,0.24853182448815803,0.7645263074736806,0.9342105263157896,0.0,1.340777616387041,21
Fe,61.04676966581408,0.15908964869846368,-14.508216519154905,0.06000000000000005,4.0,0.12955967221837494,0.25467729279365603,0.7680462318251042,0.9210526315789473,0.3333333333333333,1.3482032428760746,22
Pm,52.15715736257456,0.11477820838718561,-15.012554248212396,0.25,0.0,0.3077196820434458,0.5373860612266634,0.8368886470128993,0.6710526315789473,0.0,1.3520633785595357,23
Pr,51.5701289259053,0.11459622096308009,-14.61745943580884,0.27,0.0,0.3194845361762271,0.5385471482998381,0.7829579582166046,0.644736842105263,0.0,1.3599114640682834,24
Sr,43.00327963334879,0.09630462566477618,-13.724408379220549,0.45999999999999996,0.0,0.4911759330637575,0.6552482607694845,0.6610559309055726,0.39473684210526316,0.0,1.3634449989181816,25
Ce,51.5701289259053,0.11459622096308009,-14.61745943580884,0.29000000000000004,0.0,0.3194845361762271,0.5385471482998381,0.7829579582166046,0.6184210526315789,0.0,1.3670222279911157,26
Hg,52.28323533905493,0.07182431094872346,-12.896967057075994,0.30000000000000004,0.0,0.30519290666087007,0.8114336516213865,0.5481096733470388,0.6052631578947367,0.0,1.3705240627340225,27
Mn,41.89571640631613,0.16582492175165212,-15.22276067463335,0.10999999999999999,0.0,0.5133730175573206,0.21170598027140675,0.8655819555818569,0.8552631578947368,0.0,1.3773998133109113,28
Gd,45.856742837018075,0.15130270451742803,-15.244180871372988,0.21999999999999997,0.0,0.4339886210573678,0.30435830933955366,0.8685058258227571,0.7105263157894737,0.0,1.3803521197761224,29
Zr,37.91831100134683,0.17353928156689208,-14.370644995985314,0.0,0.0,0.5930856711417059,0.1624880548937815,0.7492676329410641,1.0,0.0,1.3891984196351415,30
Hf,40.24805149296621,0.17479849500127193,-15.159457228398752,0.010000000000000009,0.0,0.5463944798143272,0.15445422262096287,0.8569409956111551,0.9868421052631579,0.0,1.3933214412033816,31
Nd,56.119452027842506,0.11281588580154273,-14.64701055020059,0.26,0.0,0.2283098683852378,0.5499057581166376,0.7869917037982028,0.6578947368421053,0.0,1.400178214063943,32
Tm,45.8074396488945,0.16341637354099006,-16.09421730140172,0.16000000000000003,0.0,0.4349767244955012,0.22707261456639904,0.9845363297276482,0.7894736842105263,0.0,1.4004386811828773,33
Ag,30.718464133478133,0.11643558215570224,-11.74695040851905,0.42999999999999994,0.0,0.7373804665683912,0.5268119500346324,0.3911316821489843,0.4342105263157895,0.0,1.408443931075868,34
Nb,41.47732892364663,0.1741947394997443,-14.538537447233336,0.0,0.0,0.5217580759243678,0.15830620696343733,0.7721850574560074,1.0,0.0,1.4103415994808355,35
La,52.05794698100808,0.13178498171564887,-14.61745943580884,0.31000000000000005,0.0,0.3097079940138332,0.4288821645143408,0.7829579582166046,0.5921052631578947,0.0,1.4199168989005047,36
Y,48.51835336512177,0.16021759233567084,-15.22558059371349,0.18000000000000005,0.0,0.380646299518254,0.24748096709770429,0.8659668762985238,0.763157894736842,0.0,1.4226534933901855,37
Ba,35.1153894613883,0.09835182926172399,-13.903757736975793,0.6300000000000001,0.0,0.6492600589624138,0.642187019619139,0.685537230318418,0.17105263157894712,0.0,1.4272663410506408,38
Dy,51.3024888210022,0.15705200622044665,-15.938034433865143,0.19000000000000006,0.0,0.32484841056046143,0.2676775336213133,0.9632172707068869,0.7499999999999999,0.0,1.4338684851338175,39
Sm,56.778211244959756,0.13000464655411148,-14.986873430295965,0.24,0.0,0.21510743113708086,0.4402407743311405,0.8333831993188134,0.6842105263157894,0.0,1.4341795164262452,40
Lu,45.8074396488945,0.17141649844151569,-14.987634840232472,0.14,0.0,0.4349767244955012,0.17603149647026273,0.8334871322509678,0.8157894736842105,0.0,1.435212684518366,41
Ta,43.38746071224938,0.18382538296958237,-15.30887576332731,0.0,0.0,0.4834764178929336,0.09686231492451514,0.8773367190037455,1.0,0.0,1.448275032437205,42
Er,53.29571586546602,0.1572758501915052,-15.938034433865143,0.17000000000000004,0.0,0.28490140975640355,0.2662494000979032,0.9632172707068869,0.7763157894736842,0.0,1.4495321768895293,43
Ho,53.29571586546602,0.1572758501915052,-15.938034433865143,0.18000000000000005,0.0,0.28490140975640355,0.2662494000979032,0.9632172707068869,0.763157894736842,0.0,1.4516208487841449,44
Mg,36.837057917153956,0.04226864298268157,-8.881529958069372,0.0,0.0,0.6147554643263862,1.0,0.0,1.0,0.0,1.465746687619105,45
Yb,48.68337817809654,0.17747485084902115,-16.207503744458332,0.15000000000000002,0.0,0.37733897617297685,0.13737896484801526,1.0,0.8026315789473684,0.0,1.4733553863575506,46
Ca,53.81438668122852,0.13947470157994704,-13.581378605810142,0.28,0.0,0.2745065360003738,0.3798214430130977,0.6415322774526837,0.631578947368421,0.0,1.4748543619567844,47
Be,39.96138294967606,0.04920900506268058,-9.344951185348954,0.26999999999999996,0.0,0.5521397101738674,0.9557202112517142,0.06325728712551215,0.6447368421052632,0.0,1.4853411595911346,48
Zn,46.99614694040937,0.19900746844213454,-14.914083560909654,0.020000000000000018,0.0,0.4111534017777887,-2.220446049250313e-16,0.8234473366596338,0.9736842105263157,0.0,1.5422722457290319,49
Pd,48.43321535576917,0.045298909577333055,-8.967427138630931,0.14,0.0,0.3823525818695346,0.9806667774511594,0.011725018825640365,0.8157894736842105,0.0,1.5467653548738651,50
Cd,67.51138120959989,0.1444722819266411,-14.791077764247559,0.22999999999999998,0.0,0.0,0.34793667973224185,0.8066569685463012,0.6973684210526316,0.0,1.5981720727213626,51
Ra,49.408806514307514,0.07853736936318335,-13.025205624235152,0.76,0.0,0.3628003984377439,0.7686040693862146,0.5656143179032906,0.0,0.0,1.6273470219182942,52
