Rank,Metal,Integrated_Score,RDF_10ns,RDF_20ns,RDF_30ns,RDF_40ns,RDF_50ns,MSD_10ns,MSD_20ns,MSD_30ns,MSD_40ns,MSD_50ns,Avg_RDF_Score,Avg_MSD_Score,Final_RDF_Score,Final_MSD_Score,RDF_Temporal_Stability,MSD_Temporal_Stability,RDF_Trend_Score,MSD_Trend_Score
1,Yb,75.750,509.243,536.515,535.059,541.450,540.092,33.531,43.660,42.983,47.995,48.586,88.357,62.199,89.671,55.219,95.552,75.101,50.666,32.778
2,Eu,71.498,364.108,358.818,363.731,369.876,368.251,15.738,24.543,25.096,26.394,24.667,59.475,88.950,60.043,87.111,97.878,67.097,50.193,40.146
3,Er,68.218,474.996,487.958,485.615,485.623,485.971,23.262,30.253,41.573,54.596,53.547,80.006,65.805,80.340,48.604,98.099,38.855,50.196,7.544
4,Mn,64.232,367.561,357.025,356.469,363.939,370.234,15.151,23.069,33.545,30.444,41.739,59.146,81.614,60.385,64.349,96.959,36.957,50.123,19.725
5,Pb,62.923,201.780,210.600,209.450,211.281,213.157,19.547,17.318,24.404,17.761,17.574,32.630,94.239,33.303,96.568,96.248,72.460,50.234,51.751
6,Cu,60.823,220.231,256.574,265.200,246.158,230.406,21.642,23.789,31.264,30.147,23.806,38.571,85.160,36.277,88.258,86.458,70.652,50.099,44.657
7,Zn,58.427,238.751,276.458,287.776,305.517,326.645,33.008,33.311,39.645,35.037,47.047,46.040,69.854,52.870,57.270,79.437,71.912,52.048,35.097
8,Ba,57.489,198.666,209.535,215.869,217.699,220.881,26.155,25.995,31.542,32.739,34.992,33.195,79.620,34.635,73.345,92.605,76.150,50.526,37.792
9,Sm,55.744,298.973,313.270,320.511,325.530,333.613,23.235,49.117,50.483,45.317,57.003,51.445,59.959,54.071,43.996,92.618,48.783,50.815,18.132
10,Ca,53.510,283.486,309.666,320.387,329.369,333.090,33.067,43.592,67.940,70.763,53.905,50.896,48.196,53.981,48.127,88.706,46.911,51.189,15.577
11,Ni,53.391,226.702,246.562,243.216,251.829,251.484,24.334,30.644,35.899,47.290,47.708,38.614,70.433,39.911,56.390,92.453,50.549,50.548,18.303
12,Cd,51.115,279.529,309.976,313.509,310.993,309.201,28.743,43.039,43.827,56.415,67.659,49.076,56.085,49.862,29.788,91.702,44.961,50.604,4.396
13,Sr,50.881,174.040,189.195,197.594,203.036,206.028,29.241,44.479,48.469,48.947,42.925,29.996,62.917,32.074,62.767,88.148,66.533,50.778,34.082
14,Cr,48.068,145.058,173.016,181.561,190.129,196.559,33.455,47.252,48.143,53.211,46.627,27.115,59.017,30.441,57.831,79.744,71.287,51.201,33.849
15,Sn,47.096,201.613,196.427,204.191,201.397,198.614,33.313,42.824,64.469,72.919,46.781,31.112,50.585,30.796,57.625,97.330,44.231,49.990,21.485
16,Fe,47.058,202.396,251.119,262.468,266.249,278.805,25.149,32.099,43.877,62.809,61.206,40.036,59.963,44.622,38.392,79.043,32.886,51.679,0.000
17,Ra,46.093,151.197,140.758,148.224,150.964,155.712,17.959,31.256,33.576,36.922,49.457,22.305,74.888,23.399,54.058,93.397,40.162,50.192,15.669
18,Mg,39.304,28.180,32.471,34.150,33.313,31.260,21.900,28.419,43.030,47.000,36.773,2.047,72.768,1.941,70.970,86.950,47.908,50.070,25.837
19,Pd,38.979,32.233,30.240,31.296,32.316,32.229,25.608,28.055,30.351,36.422,48.365,2.011,74.986,2.108,55.513,94.922,51.798,50.021,23.059
20,V,38.008,214.475,220.979,221.861,225.967,241.243,32.419,27.335,34.145,82.349,86.505,35.328,49.932,38.145,4.659,92.031,0.454,50.585,0.000
21,Co,36.291,40.762,54.884,59.335,59.413,58.317,18.557,31.511,47.998,43.274,47.495,5.956,69.644,6.606,56.673,74.022,40.190,50.396,15.180
