metal,category,rdf_peak_height,rdf_peak_width,msd_10ns,msd_20ns,msd_30ns,msd_40ns,msd_50ns,score_10ns,score_20ns,score_30ns,score_40ns,score_50ns,final_score,rank
Eu,Lanthanides,368.25,0.01,15.74,24.54,25.10,26.39,24.67,88.27,78.51,89.07,83.19,84.72,84.63,1.00
Mn,Transition,370.23,0.01,15.15,23.07,33.55,30.44,41.74,89.80,80.75,79.30,79.98,72.27,78.63,2.00
Pb,Post_Transition,213.16,0.02,19.55,17.32,24.40,17.76,17.57,67.82,79.78,79.78,79.78,79.78,78.59,3.00
Er,Lanthanides,485.97,0.01,23.26,30.25,41.57,54.60,53.55,74.74,76.47,77.09,68.29,70.72,72.65,4.00
Cu,Transition,230.41,0.01,21.64,23.79,31.26,30.15,23.81,63.52,71.00,73.30,71.59,76.65,72.55,5.00
Yb,Lanthanides,540.09,0.01,33.53,43.66,42.98,47.99,48.59,49.81,58.39,78.47,76.41,77.32,71.73,6.00
Ba,Alkaline_Earth,220.88,0.02,26.16,26.00,31.54,32.74,34.99,50.30,66.59,72.04,68.64,67.60,66.87,7.00
Zn,Transition,326.64,0.01,33.01,33.31,39.65,35.04,47.05,38.46,61.89,69.53,73.66,65.66,65.15,8.00
Ni,Transition,251.48,0.02,24.33,30.64,35.90,47.29,47.71,57.25,61.28,69.03,59.37,60.37,61.68,9.00
Ra,Alkaline_Earth,155.71,0.02,17.96,31.26,33.58,36.92,49.46,68.19,53.91,65.29,60.99,52.70,59.02,10.00
Sm,Lanthanides,333.61,0.01,23.23,49.12,50.48,45.32,57.00,65.65,37.64,57.69,66.31,59.04,58.04,11.00
Fe,Transition,278.81,0.01,25.15,32.10,43.88,62.81,61.21,57.21,61.16,62.04,49.53,52.76,55.51,12.00
Cd,Transition,309.20,0.01,28.74,43.04,43.83,56.42,67.66,49.03,45.57,63.70,56.09,49.68,53.40,13.00
Sr,Alkaline_Earth,206.03,0.02,29.24,44.48,48.47,48.95,42.92,41.03,36.65,51.72,55.22,60.97,52.04,14.00
Co,Transition,58.32,0.01,18.56,31.51,48.00,43.27,47.50,62.14,49.09,44.31,51.66,49.70,50.26,15.00
Cr,Early_Transition,196.56,0.01,33.46,47.25,48.14,53.21,46.63,29.76,32.49,52.29,52.11,58.48,48.88,16.00
V,Early_Transition,241.24,0.01,32.42,27.34,34.15,82.35,86.51,35.22,66.44,71.00,32.19,32.19,45.39,17.00
Sn,Post_Transition,198.61,0.02,33.31,42.82,64.47,72.92,46.78,29.70,39.01,33.10,36.41,57.93,41.92,18.00
Ca,Alkaline_Earth,193.60,0.02,33.07,43.59,67.94,70.76,53.90,29.89,37.32,28.63,37.60,52.28,39.39,19.00
Pd,Transition,32.23,0.22,25.61,28.06,30.35,36.42,48.37,21.61,33.17,43.23,35.61,27.72,33.00,20.00
Mg,Alkaline_Earth,31.26,0.22,21.90,28.42,43.03,47.00,36.77,31.83,32.73,28.80,27.55,36.26,31.62,21.00
