Atomic_number,Element,Physics_score,CFSE_Dq,Lindemann_CV
28,Ni,282.1932,1.2,0.102505
78,Pt,260.1543,1.2,0.112017
42,Mo,238.9481,1.2,0.086684
74,W,238.113,1.2,0.114135
63,Eu,233.5994,0.0,0.133956
24,Cr,230.8678,1.2,0.139921
82,Pb,229.7175,0.0,0.100448
65,Tb,225.0959,0.0,0.133953
64,Gd,223.2846,0.0,0.151303
70,Yb,218.6808,0.0,0.177685
66,Dy,216.403,0.0,0.157052
79,Au,215.8163,0.0,0.117595
39,Y,214.827,0.0,0.160218
77,Ir,212.8308,0.8,0.111053
45,Rh,212.0375,0.8,0.087648
76,Os,211.6241,0.4,0.112015
46,Pd,210.6543,1.2,0.045042
56,Ba,209.6632,0.0,0.09843
30,Zn,209.018,0.0,0.19926
44,Ru,208.4627,0.4,0.086684
41,Nb,201.0791,0.0,0.174195
80,Hg,200.1152,0.0,0.071824
59,Pr,199.2786,0.0,0.114596
38,Sr,199.2232,0.0,0.096184
50,Sn,195.2423,0.0,0.10338
47,Ag,194.1508,0.0,0.116436
25,Mn,193.992,0.0,0.166186
58,Ce,192.3804,0.0,0.114596
57,La,192.3664,0.0,0.131785
73,Ta,191.5563,0.0,0.183825
72,Hf,190.8346,0.0,0.174798
69,Tm,185.746,0.0,0.163416
71,Lu,184.222,0.0,0.171416
61,Pm,184.0769,0.0,0.114778
27,Co,182.9112,0.8,0.043954
40,Zr,182.6163,0.0,0.173539
43,Tc,181.3104,0.0,0.115637
29,Cu,180.8595,0.6,0.182461
60,Nd,178.8686,0.0,0.112816
62,Sm,178.0829,0.0,0.129943
20,Ca,172.1945,0.0,0.139449
26,Fe,166.1805,0.4,0.158997
48,Cd,163.1561,0.0,0.144329
21,Sc,150.2178,0.0,0.148992
12,Mg,149.6193,0.0,0.042066
