Metal,MSD,Lindemann,PMF,Radius_Mismatch,OSSE,Is_Pareto
Mg,36.70377731323242,0.04338916018605232,-8.875667572021484,0.0,0.0,True
Ca,53.87562561035156,0.13950413465499878,-13.572998046875,0.28,0.0,False
Sr,42.93852233886719,0.09691274166107178,-13.732385635375977,0.45999999999999996,0.0,True
Ba,35.08746337890625,0.09784561395645142,-13.909521102905273,0.6300000000000001,0.0,True
Ra,49.468685150146484,0.07965993136167526,-13.011962890625,0.76,0.0,True
Be,42.14334487915039,0.05260391905903816,-9.552154541015625,0.26999999999999996,0.0,True
V,42.451316833496094,0.15792100131511688,-14.551021575927734,0.07000000000000006,8.0,True
Cr,46.552818298339844,0.15792100131511688,-14.611340522766113,0.08000000000000007,12.0,True
Mn,41.96552276611328,0.1652231216430664,-15.23568058013916,0.10999999999999999,0.0,True
Fe,61.07052993774414,0.1581064909696579,-14.515268325805664,0.06000000000000005,4.0,True
Co,47.52214050292969,0.04554527625441551,-10.484994888305664,0.030000000000000027,8.0,True
Ni,47.72334289550781,0.10234099626541138,-14.243612289428711,0.030000000000000027,12.0,True
Cu,23.902725219726562,0.18128962814807892,-14.018220901489258,0.010000000000000009,6.0,True
Zn,47.06879425048828,0.19774460792541504,-14.920539855957031,0.020000000000000018,0.0,True
Pd,48.31754684448242,0.04627654328942299,-8.956820487976074,0.14,0.0,False
Cd,67.61388397216797,0.1446865200996399,-14.777783393859863,0.22999999999999998,0.0,False
Pt,48.84025192260742,0.11600152403116226,-14.159631729125977,0.08999999999999997,0.0,False
Au,23.986309051513672,0.10890553146600723,-11.652064323425293,0.13,0.0,True
Hg,50.682674407958984,0.06512872129678726,-11.887348175048828,0.30000000000000004,0.0,True
Sc,41.42741775512695,0.15445144474506378,-13.856801986694336,0.030000000000000027,0.0,True
Ti,40.07141876220703,0.14851072430610657,-13.838140487670898,0.04999999999999993,0.0,True
Y,46.01464080810547,0.1596611887216568,-15.462355613708496,0.18000000000000005,0.0,False
Zr,38.692787170410156,0.17902487516403198,-14.404411315917969,0.0,0.0,True
Nb,38.53439712524414,0.17965397238731384,-14.41697883605957,0.0,0.0,True
Mo,49.40074920654297,0.10061431676149368,-13.467089653015137,0.030000000000000027,0.0,True
Tc,45.83538818359375,0.10241662710905075,-13.543817520141602,0.06999999999999995,0.0,True
Ru,49.40074920654297,0.09992947429418564,-13.41535472869873,0.039999999999999925,0.0,True
Rh,49.06333541870117,0.10159847885370255,-13.813780784606934,0.04999999999999993,0.0,True
Ag,44.04112243652344,0.10277779400348663,-10.752421379089355,0.42999999999999994,0.0,True
Hf,45.111900329589844,0.16817985475063324,-14.634658813476562,0.010000000000000009,0.0,True
Ta,44.367210388183594,0.19065441191196442,-14.734561920166016,0.0,0.0,True
W,33.039432525634766,0.11519709974527359,-13.745664596557617,0.05999999999999994,0.0,True
Re,48.4014778137207,0.11699939519166946,-13.781208992004395,0.08999999999999997,0.0,False
Os,49.17766571044922,0.11519709974527359,-13.75738525390625,0.08999999999999997,0.0,False
Ir,49.17766571044922,0.11519709974527359,-13.75738525390625,0.039999999999999925,0.0,False
Sn,46.768795013427734,0.10356754809617996,-13.639060974121094,0.030000000000000027,0.0,True
Pb,17.59958267211914,0.1004699245095253,-13.818281173706055,0.47,0.0,True
Sm,56.823081970214844,0.1301763653755188,-14.9810791015625,0.24,0.0,True
Eu,24.861671447753906,0.13389438390731812,-15.230290412902832,0.22999999999999998,0.0,True
Er,53.34877014160156,0.15746767818927765,-15.94446849822998,0.17000000000000004,0.0,True
Yb,48.627201080322266,0.17589238286018372,-16.21407699584961,0.15000000000000002,0.0,True
La,54.08919143676758,0.1295383870601654,-14.422837257385254,0.31000000000000005,0.0,False
Ce,54.08919143676758,0.1295383870601654,-14.422837257385254,0.29000000000000004,0.0,True
Pr,55.90068054199219,0.1319274604320526,-15.014860153198242,0.27,0.0,False
Nd,55.90068054199219,0.1319274604320526,-15.014860153198242,0.26,0.0,False
Pm,55.90068054199219,0.1319274604320526,-15.014860153198242,0.25,0.0,True
Gd,41.42886734008789,0.15722204744815826,-15.844836235046387,0.21999999999999997,0.0,True
Tb,26.364398956298828,0.1419774740934372,-15.840609550476074,0.20000000000000007,0.0,False
Dy,26.364398956298828,0.1419774740934372,-15.840609550476074,0.19000000000000006,0.0,False
Ho,26.364398956298828,0.1419774740934372,-15.840609550476074,0.18000000000000005,0.0,True
Tm,49.866790771484375,0.15917587280273438,-16.008800506591797,0.16000000000000003,0.0,True
Lu,47.941932678222656,0.1741412878036499,-14.190853118896484,0.14,0.0,False
