Metal,Score,Type,Rank
Ni,282.19319958377395,MD Data,1
Eu,233.59940971959887,MD Data,2
Cr,230.86775398758945,MD Data,3
Pb,229.7175443739892,MD Data,4
Pt,229.06967163085938,ML Prediction,5
Ho,228.00588989257812,ML Prediction,6
Dy,228.00588989257812,ML Prediction,7
Tb,228.00588989257812,ML Prediction,8
Gd,227.54486083984375,ML Prediction,9
Y,220.6839599609375,ML Prediction,10
Yb,218.6807871610701,MD Data,11
Ag,211.19842529296875,ML Prediction,12
Pd,210.65429101075213,MD Data,13
Ba,209.66317406060745,MD Data,14
Rh,209.5645751953125,ML Prediction,15
W,209.23233032226562,ML Prediction,16
Zn,209.0179735482068,MD Data,17
Rb,208.5109405517578,ML Prediction,18
Cs,208.5109405517578,ML Prediction,19
Mo,207.06114196777344,ML Prediction,20
Hg,205.66357421875,ML Prediction,21
Au,202.21896362304688,ML Prediction,22
Bi,201.5553436279297,ML Prediction,23
Ir,201.17921447753906,ML Prediction,24
Os,199.48382568359375,ML Prediction,25
Sr,199.2231838265604,MD Data,26
Ru,199.00392150878906,ML Prediction,27
Hf,195.34381103515625,ML Prediction,28
Sn,195.2422512521242,MD Data,29
Mn,193.9919783295527,MD Data,30
Nb,192.979248046875,ML Prediction,31
La,191.85748291015625,ML Prediction,32
Ce,191.85748291015625,ML Prediction,33
Pr,191.49810791015625,ML Prediction,34
Pm,191.49810791015625,ML Prediction,35
Nd,191.49810791015625,ML Prediction,36
Ta,187.14349365234375,ML Prediction,37
Tl,186.48866271972656,ML Prediction,38
Tm,184.51856994628906,ML Prediction,39
Zr,183.82058715820312,ML Prediction,40
Co,182.91123364443064,MD Data,41
Cu,180.85952780384935,MD Data,42
Er,180.69165766481817,MD Data,43
Tc,178.37852478027344,ML Prediction,44
Sm,178.08285081053776,MD Data,45
Ga,176.2282257080078,ML Prediction,46
Re,175.34483337402344,ML Prediction,47
Li,173.39390563964844,ML Prediction,48
Lu,173.0177001953125,ML Prediction,49
K,172.88192749023438,ML Prediction,50
Na,172.88192749023438,ML Prediction,51
In,172.53329467773438,ML Prediction,52
Ca,172.19451347228892,MD Data,53
Al,171.3163604736328,ML Prediction,54
Fe,166.18046858647782,MD Data,55
Cd,163.1560508687175,MD Data,56
Ra,161.84705818220485,MD Data,57
Be,156.30682373046875,ML Prediction,58
Ti,150.11363220214844,ML Prediction,59
Mg,149.61934401206096,MD Data,60
Sc,144.3498992919922,ML Prediction,61
V,105.61642002773183,MD Data,62
