Metal,Hardness_w40,CFSE_w30,Biocompat_w20,Lindemann_w5,dUtopia_w5,Weighted_sum,Rank
Ni,40.00000000000001,30.0,19.210526315789473,3.0775665737878035,5.0,97.28809288957729,1
Cr,21.017719600993303,30.0,17.894736842105264,1.8874448134152706,2.5,73.29990125651383,2
Pd,15.96363483311587,30.0,16.315789473684212,4.905339898469407,5.0,72.18476420526949,3
Cu,29.85815901342649,15.0,19.736842105263158,0.5343397330686915,4.375,69.50434085175834,4
Co,14.904667704869729,20.0,19.210526315789473,4.939946817308548,4.375,63.43014083796775,5
Zn,30.146049917925833,0.0,19.473684210526315,0.0,3.75,53.36973412845215,6
Eu,36.848352203375555,0.0,13.947368421052634,2.077178518264056,0.0,52.87289914269224,7
Mn,29.297529357296185,0.0,17.105263157894736,1.052012163314121,3.125,50.57980467850505,8
Fe,16.990614083084303,10.0,18.42105263157895,1.2806786518569409,3.75,50.44234536652019,9
Yb,32.971084641609494,0.0,16.052631578947366,0.6862539282669816,0.0,49.70997014882384,10
Sn,27.24188728481838,0.0,19.210526315789473,3.0497347226993394,0.0,49.502148323307196,11
Pb,34.63277073950924,0.0,7.631578947368422,3.1429952797180554,0.0,45.40734496659572,12
Er,25.47076897175807,0.0,15.526315789473683,1.3321755283280534,0.0,42.329260289559805,13
Cd,20.24327623216465,0.0,13.947368421052634,1.747235899589042,3.75,39.68788055280633,14
Sm,23.539711267309222,0.0,13.68421052631579,2.204823339313205,0.0,39.42874513293822,15
Sr,26.804158424176105,0.0,7.894736842105263,3.2786238660508666,0.0,37.97751913233223,16
V,0.0,15.0,18.157894736842103,1.8810832474521928,1.875,36.9139779842943,17
Ba,29.758828233511505,0.0,3.4210526315789473,3.207183480285507,0.0,36.38706434537596,18
Ca,20.85946378214571,0.0,12.631578947368421,1.9024581090881332,0.0,35.393500838602264,19
Mg,10.2260196136201,0.0,20.0,5.0,0.0,35.226019613620096,20
Ra,20.066501115366805,0.0,0.0,3.8462027812766384,0.0,23.912703896643443,21
